code;title;short_title;un_rep;ec_dis;graph2;chord;pop_total;pop_unknown;pop_self;pop_wo_unk;capital;lat;lon
156;г. Тбилиси;г. Тбилиси;Грузинская ССР;Закавказский;Грузинская ССР;Закавказский;1246936;4235;679760;1242701;г. Тбилиси;41.716667;44.8
157;Азербайджанская ССР (ост.);Азербайджанская (ост.);Азербайджанская ССР;Закавказский;Азербайджанская ССР;Закавказский;4743344;16699;4548082;4726645;г. Баку;40.366656;49.835183
158;Нахичеванская АССР;Нахичеванская;Азербайджанская ССР;Закавказский;Азербайджанская ССР;Закавказский;293875;194;271718;293681;г. Нахичевань;39.208889;45.412222
159;Нагорно-Карабахская АО;Нагорно-Карабахская;Азербайджанская ССР;Закавказский;Азербайджанская ССР;Закавказский;189085;620;168117;188465;г. Степанакерт;39.815278;46.751944
160;г. Баку;г. Баку;Азербайджанская ССР;Закавказский;Азербайджанская ССР;Закавказский;1794874;1127;990388;1793747;г. Баку;40.366656;49.835183
161;Литовская ССР (ост.);Литовская (ост.);Литовская ССР;Прибалтийский;Литовская ССР;Прибалтийский;3098055;15352;2833156;3082703;г. Вильнюс;54.683333;25.283333
162;г. Вильнюс;г. Вильнюс;Литовская ССР;Прибалтийский;Литовская ССР;Прибалтийский;576747;4147;179869;572600;г. Вильнюс;54.683333;25.283333
163;Молдавская ССР (ост.);Молдавская (ост.);Молдавская ССР;Молдавский;Молдавская ССР;Молдавская ССР;3620432;11407;3198185;3609025;г. Кишинев;47.022778;28.835278
164;г. Кишинев;г. Кишинев;Молдавская ССР;Молдавский;Молдавская ССР;Молдавская ССР;714928;6133;210416;708795;г. Кишинев;47.022778;28.835278
165;Латвийская ССР (ост.);Латвийская (ост.);Латвийская ССР;Прибалтийский;Латвийская ССР;Прибалтийский;1756112;6315;1325901;1749797;г. Рига;56.9475;24.106944
166;г. Рига;г. Рига;Латвийская ССР;Прибалтийский;Латвийская ССР;Прибалтийский;910455;7397;363836;903058;г. Рига;56.9475;24.106944
167;Киргизская ССР (ост.);Киргизская (ост.);Киргизская ССР;Среднеазиатский;Киргизская ССР;Среднеазиатский;982983;18878;692837;964105;г. Фрунзе;42.866667;74.566667
168;г. Фрунзе;г. Фрунзе;Киргизская ССР;Среднеазиатский;Киргизская ССР;Среднеазиатский;619903;1065;212375;618838;г. Фрунзе;42.866667;74.566667
169;Иссык-Кульская область;Иссык-Кульская;Киргизская ССР;Среднеазиатский;Киргизская ССР;Среднеазиатский;658066;5631;570857;652435;г. Иссык-Куль;42.466667;76.183333
170;Ошская область;Ошская;Киргизская ССР;Среднеазиатский;Киргизская ССР;Среднеазиатский;1996803;7950;1789216;1988853;г. Ош;40.533333;72.783333
171;Таджикская ССР (ост.);Таджикская (ост.);Таджикская ССР;Среднеазиатский;Таджикская ССР;Среднеазиатский;2157004;3815;1078525;2153189;г. Душанбе;38.573056;68.786389
172;Горно-Бадахшанская АО;Горно-Бадахшанская;Таджикская ССР;Среднеазиатский;Таджикская ССР;Среднеазиатский;160887;161;151237;160726;г. Хорог;37.493056;71.553333
