origin;destination;year;migrants
1129;2014;2015;1103
1129;2016;2015;3
1129;2021;2015;59
1129;2026;2015;1
1129;2041;2015;4
1129;2051;2015;13
1129;2059;2015;85
1129;2069;2015;8
1129;2073;2015;1
1129;2078;2015;2
1129;2081;2015;279
1129;2084;2015;7
1129;2088;2015;125
1129;2096;2015;1
1129;2102;2015;1
1129;2107;2015;4
1129;2119;2015;1
1129;2127;2015;1124
1129;2129;2015;2
1129;2142;2015;2
1129;2152;2015;1
1129;2159;2015;1
1129;2160;2015;4
1129;2176;2015;2
1129;2181;2015;5
1129;2182;2015;7
1129;2189;2015;936
1129;2199;2015;38
1129;2200;2015;6
1129;2202;2015;3509
